PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0033_02,Earth,True,F/40/P,TRAPPIST-1e,19.8,False,0,0,0,0,0,Nova Stark,True
0034_01,Mars,True,G/108/S,PSO J318.5-22,26.6,False,0,0,0,0,0,Ethan Zhao,True
0034_02,Europa,False,D/2/S,TRAPPIST-1e,36.7,False,1300,797,283,878,959,Leo Stark,False
0035_01,Europa,False,E/57/S,TRAPPIST-1e,24.3,False,815,658,546,1215,1072,Ilya Komarov,True
0035_02,Earth,False,G/104/P,55 Cancri e,33.0,False,16,1195,1243,157,476,Hiro Tanaka,False
0036_01,Mars,False,F/7/P,PSO J318.5-22,34.1,False,1060,279,1372,496,301,Ilya Komarov,True
0036_02,Earth,False,B/117/S,TRAPPIST-1e,24.5,False,180,606,1122,699,992,Leo Stark,True
0037_01,Mars,True,A/121/P,PSO J318.5-22,25.8,False,0,0,0,0,0,Nova Stark,True
0037_02,Earth,False,F/11/P,TRAPPIST-1e,23.2,False,927,1184,1279,1346,127,Mila Benson,False
0038_01,Earth,True,F/30/P,55 Cancri e,14.6,False,0,0,0,0,0,Nova Stark,True
0038_02,Europa,False,F/30/P,TRAPPIST-1e,11.8,False,565,569,1346,685,625,Mila Benson,False
0039_01,Europa,False,D/102/P,TRAPPIST-1e,28.6,False,1409,784,1127,1416,245,Aria Lin,True
0039_02,Europa,False,G/176/P,55 Cancri e,16.6,False,1199,1062,758,537,920,Nova Stark,False
0040_01,Europa,False,E/166/S,TRAPPIST-1e,20.7,False,902,35,684,19,320,Ilya Komarov,True
0040_02,Mars,False,G/118/P,55 Cancri e,30.0,False,511,399,653,971,470,Priya Kaur,False
0041_01,Earth,False,E/199/S,55 Cancri e,28.7,False,726,853,50,574,1213,Ethan Zhao,False
0041_02,Earth,False,G/23/S,55 Cancri e,23.9,False,1148,149,313,569,1365,Ilya Komarov,False
0042_01,Europa,False,A/127/S,TRAPPIST-1e,31.5,False,612,992,263,1076,1003,Nova Stark,False
0042_02,Earth,True,E/180/S,55 Cancri e,9.2,True,0,0,0,0,0,Remy Vivaldi,True
0043_01,Europa,False,E/195/P,PSO J318.5-22,27.5,False,773,876,991,883,1373,Ethan Zhao,False
0043_02,Earth,True,B/104/P,TRAPPIST-1e,33.2,False,0,0,0,0,0,Nova Stark,True
0044_01,Mars,False,F/141/S,TRAPPIST-1e,49.4,False,655,268,369,635,1129,Kai Vega,False
0044_02,Earth,True,B/81/P,PSO J318.5-22,34.3,False,0,0,0,0,0,Ethan Zhao,True
0045_01,Earth,False,C/186/S,TRAPPIST-1e,38.5,False,830,1081,1369,740,1497,Kai Vega,True
0045_02,Earth,False,F/137/P,TRAPPIST-1e,21.7,True,116,790,1150,1416,1012,Mila Benson,False
0046_01,Europa,False,F/193/S,TRAPPIST-1e,12.5,False,1141,559,487,1260,896,Hiro Tanaka,True
0046_02,Mars,False,B/14/S,55 Cancri e,24.6,False,1295,1212,703,1470,580,Jordan Benson,False
0047_01,Earth,False,F/14/P,TRAPPIST-1e,14.7,False,1099,153,1458,996,1109,Kai Vega,True
0047_02,Earth,True,G/107/P,PSO J318.5-22,46.4,False,0,0,0,0,0,Ilya Komarov,False
0048_01,Earth,False,D/79/P,PSO J318.5-22,32.4,False,1227,911,217,473,431,Jordan Benson,False
0048_02,Earth,False,C/170/P,TRAPPIST-1e,35.7,False,340,550,1312,1277,356,Priya Kaur,True
0049_01,Earth,False,F/153/S,TRAPPIST-1e,44.3,True,1123,801,1203,1246,761,Kai Vega,False
0049_02,Europa,False,A/176/P,TRAPPIST-1e,13.7,False,441,768,1015,1348,515,Aria Lin,False
0050_01,Earth,False,E/58/P,TRAPPIST-1e,33.7,False,257,496,895,159,1498,Jordan Benson,True
0050_02,Earth,False,G/146/S,55 Cancri e,29.5,False,851,689,379,956,690,Ethan Zhao,False
0051_01,Mars,False,E/139/S,55 Cancri e,32.5,False,1440,1191,1066,284,396,Mila Benson,False
0051_02,Europa,False,C/7/P,TRAPPIST-1e,39.4,False,11,1325,1276,498,753,Hiro Tanaka,False
0052_01,Earth,False,F/69/P,PSO J318.5-22,23.1,False,775,604,969,1021,417,Ilya Komarov,False
0052_02,Mars,False,B/150/S,PSO J318.5-22,30.1,False,114,616,1219,825,1098,Jordan Benson,False
0053_01,Mars,False,F/27/P,TRAPPIST-1e,31.6,False,1300,1020,760,675,1417,Ilya Komarov,True
0053_02,Mars,False,E/10/S,TRAPPIST-1e,33.8,False,456,919,191,738,1122,Nova Stark,True
0054_01,Europa,False,E/1/S,55 Cancri e,10.1,False,95,662,1213,36,1392,Priya Kaur,False
0054_02,Europa,False,D/195/P,TRAPPIST-1e,15.8,False,278,216,866,872,1296,Lara Xel'Naga,False
0055_01,Mars,False,D/32/P,PSO J318.5-22,24.7,False,728,1365,396,698,1042,Remy Vivaldi,False
0055_02,Earth,False,E/105/P,TRAPPIST-1e,60.5,False,176,395,444,1256,75,Jordan Benson,False
0056_01,Earth,False,B/128/S,55 Cancri e,31.9,False,734,1407,850,1390,143,Leo Stark,False
0056_02,Mars,True,E/38/S,TRAPPIST-1e,26.8,False,0,0,0,0,0,Priya Kaur,True
0057_01,Earth,False,C/198/S,TRAPPIST-1e,10.1,False,1048,947,890,1492,1174,Priya Kaur,True
0057_02,Earth,True,C/151/S,TRAPPIST-1e,23.5,False,0,0,0,0,0,Ilya Komarov,True
0058_01,Mars,False,D/117/S,TRAPPIST-1e,24.6,False,1065,1209,934,397,1246,Remy Vivaldi,False
0058_02,Earth,False,D/12/S,PSO J318.5-22,30.5,False,633,1156,1186,1238,732,Leo Stark,False
0059_01,Europa,False,F/39/S,TRAPPIST-1e,19.7,False,587,1032,1097,953,491,Hiro Tanaka,False
0059_02,Earth,False,D/26/S,TRAPPIST-1e,24.8,False,912,1276,1253,1197,1191,Leo Stark,False
0060_01,Earth,True,G/68/S,PSO J318.5-22,23.3,False,0,0,0,0,0,Aria Lin,True
0060_02,Earth,False,G/137/S,TRAPPIST-1e,30.3,False,1188,1445,338,1388,1365,Ilya Komarov,False
0061_01,Earth,False,B/162/S,TRAPPIST-1e,20.8,False,444,875,1205,166,90,Leo Stark,False
0061_02,Europa,False,G/26/S,TRAPPIST-1e,25.9,False,713,38,1149,1474,172,Mila Benson,True
0062_01,Earth,True,C/111/P,TRAPPIST-1e,27.8,False,0,0,0,0,0,Hiro Tanaka,True
0062_02,Earth,True,A/157/S,PSO J318.5-22,25.1,False,0,0,0,0,0,Ilya Komarov,False
0063_01,Earth,True,F/66/S,TRAPPIST-1e,31.2,False,0,0,0,0,0,Ilya Komarov,False
0063_02,Europa,False,A/114/S,55 Cancri e,19.7,False,1024,386,347,189,504,Leo Stark,False
0064_01,Mars,False,B/99/S,TRAPPIST-1e,13.5,False,823,928,933,1140,133,Hiro Tanaka,False
0064_02,Earth,False,C/6/S,TRAPPIST-1e,19.6,True,57,684,671,172,814,Aria Lin,False
0065_01,Earth,False,F/128/S,PSO J318.5-22,28.7,False,202,763,1252,1250,1464,Hiro Tanaka,False
0065_02,Earth,False,E/65/P,PSO J318.5-22,37.8,False,1425,46,1256,1328,1166,Aria Lin,False
0066_01,Earth,False,A/149/S,PSO J318.5-22,49.5,False,1282,655,470,970,1035,Kai Vega,False
0066_02,Mars,True,B/139/S,55 Cancri e,20.3,False,0,0,0,0,0,Kai Vega,False
0067_01,Earth,False,D/76/S,TRAPPIST-1e,19.2,False,372,1031,1145,1371,675,Jordan Benson,True
0067_02,Earth,False,F/173/S,55 Cancri e,25.7,False,89,697,1339,1201,539,Leo Stark,True
0068_01,Mars,True,C/173/S,55 Cancri e,8.9,False,0,0,0,0,0,Aria Lin,False
0068_02,Earth,False,D/7/S,PSO J318.5-22,31.6,False,460,731,751,924,908,Jordan Benson,False
0069_01,Mars,False,C/167/S,TRAPPIST-1e,14.8,False,823,797,1265,1274,876,Mila Benson,False
0069_02,Mars,True,B/138/P,TRAPPIST-1e,46.3,False,0,0,0,0,0,Aria Lin,False
0070_01,Europa,False,D/151/P,55 Cancri e,24.9,False,373,1088,145,223,1262,Ilya Komarov,False
0070_02,Earth,True,C/56/S,55 Cancri e,16.3,False,0,0,0,0,0,Nova Stark,True
0071_01,Europa,False,F/92/P,TRAPPIST-1e,31.0,False,62,1240,826,794,688,Jordan Benson,False
0071_02,Mars,True,B/165/P,TRAPPIST-1e,17.0,False,0,0,0,0,0,Remy Vivaldi,False
0072_01,Mars,True,G/196/P,55 Cancri e,26.9,False,0,0,0,0,0,Remy Vivaldi,True
0072_02,Earth,False,E/1/S,TRAPPIST-1e,40.4,False,1122,510,384,404,822,Priya Kaur,True
0073_01,Earth,True,G/7/P,TRAPPIST-1e,30.6,False,0,0,0,0,0,Remy Vivaldi,True
0073_02,Earth,True,A/33/S,55 Cancri e,31.0,False,0,0,0,0,0,Jordan Benson,True
0074_01,Europa,False,E/28/S,55 Cancri e,43.2,False,676,713,1481,82,1168,Hiro Tanaka,True
0074_02,Europa,False,D/165/P,TRAPPIST-1e,31.1,False,1108,1101,456,0,50,Leo Stark,False
0075_01,Earth,False,D/19/P,TRAPPIST-1e,19.3,False,448,880,487,33,1371,Jordan Benson,True
0075_02,Europa,False,E/183/S,TRAPPIST-1e,21.3,False,94,1095,153,249,673,Priya Kaur,True
0076_01,Mars,False,A/180/P,PSO J318.5-22,40.8,False,1329,267,1077,235,388,Priya Kaur,False
0076_02,Earth,False,B/106/S,55 Cancri e,27.1,False,989,762,400,623,766,Ethan Zhao,True
0077_01,Mars,False,C/96/P,PSO J318.5-22,42.9,False,434,102,1445,763,737,Jordan Benson,True
0077_02,Earth,True,A/191/S,TRAPPIST-1e,36.8,False,0,0,0,0,0,Hiro Tanaka,False
0078_01,Mars,False,A/106/S,PSO J318.5-22,38.6,False,797,1358,858,434,446,Leo Stark,False
0078_02,Europa,True,C/154/S,TRAPPIST-1e,10.4,False,0,0,0,0,0,Priya Kaur,True
0079_01,Europa,False,G/28/S,55 Cancri e,31.6,False,983,1358,1019,541,758,Kai Vega,False
0079_02,Mars,False,G/160/P,PSO J318.5-22,45.2,False,1129,80,132,796,899,Ethan Zhao,True
0080_01,Earth,True,G/80/S,TRAPPIST-1e,40.1,True,0,0,0,0,0,Lara Xel'Naga,True
0080_02,Mars,True,F/163/P,TRAPPIST-1e,26.6,False,0,0,0,0,0,Remy Vivaldi,True
0081_01,Mars,False,C/80/S,PSO J318.5-22,29.3,False,1473,204,125,42,110,Hiro Tanaka,True
0081_02,Earth,True,G/159/P,PSO J318.5-22,23.2,False,0,0,0,0,0,Ilya Komarov,True
0082_01,Mars,False,D/70/P,PSO J318.5-22,17.0,False,280,1218,1218,666,92,Nova Stark,False
0082_02,Earth,False,E/125/S,TRAPPIST-1e,32.9,False,671,60,633,1074,1426,Hiro Tanaka,True
0083_01,Earth,False,B/197/P,PSO J318.5-22,23.0,False,681,533,1428,837,644,Nova Stark,True
0083_02,Mars,False,B/34/S,55 Cancri e,38.5,False,232,523,345,1069,545,Priya Kaur,False
0084_01,Europa,False,A/102/P,55 Cancri e,24.3,True,1096,793,248,46,1144,Jordan Benson,False
0084_02,Europa,False,D/182/S,TRAPPIST-1e,19.8,False,213,238,1079,349,106,Mila Benson,False
0085_01,Earth,False,E/118/S,TRAPPIST-1e,36.5,False,624,1276,718,302,638,Jordan Benson,True
0085_02,Europa,False,A/102/S,PSO J318.5-22,21.8,False,55,725,525,473,27,Nova Stark,False
0086_01,Earth,False,A/136/P,PSO J318.5-22,21.7,False,364,665,525,698,1335,Ethan Zhao,False
0086_02,Europa,False,B/27/P,TRAPPIST-1e,6.1,False,882,1030,1026,918,749,Hiro Tanaka,True
0087_01,Europa,False,B/198/S,55 Cancri e,24.4,False,1038,1215,484,27,713,Hiro Tanaka,False
0087_02,Mars,False,E/83/S,TRAPPIST-1e,37.0,False,1062,1296,1254,85,1497,Ilya Komarov,False
0088_01,Earth,False,E/15/S,55 Cancri e,12.4,False,1235,24,1417,66,232,Ilya Komarov,False
0088_02,Earth,False,C/20/P,PSO J318.5-22,30.1,False,108,1169,110,227,110,Leo Stark,False
0089_01,Mars,False,F/11/S,55 Cancri e,32.0,False,1392,747,594,424,612,Nova Stark,False
0089_02,Mars,True,A/116/P,TRAPPIST-1e,44.5,False,0,0,0,0,0,Jordan Benson,True
0090_01,Earth,True,F/113/S,55 Cancri e,42.0,False,0,0,0,0,0,Lara Xel'Naga,True
0090_02,Earth,False,G/87/P,PSO J318.5-22,14.9,False,1466,314,876,1400,1312,Jordan Benson,False
0091_01,Mars,False,C/65/P,TRAPPIST-1e,25.9,False,1373,842,1469,349,822,Aria Lin,True
0091_02,Mars,False,F/179/S,TRAPPIST-1e,5.2,False,1160,758,898,242,542,Jordan Benson,False
0092_01,Mars,False,C/33/P,PSO J318.5-22,30.7,False,1246,5,1345,467,74,Priya Kaur,False
0092_02,Mars,False,B/88/S,TRAPPIST-1e,27.5,False,3,645,117,880,503,Lara Xel'Naga,True
0093_01,Earth,False,A/130/P,PSO J318.5-22,36.2,False,193,846,714,1415,1049,Hiro Tanaka,True
0093_02,Mars,True,B/178/P,PSO J318.5-22,33.7,False,0,0,0,0,0,Leo Stark,True
0094_01,Europa,True,D/157/S,PSO J318.5-22,37.3,False,0,0,0,0,0,Ilya Komarov,True
0094_02,Earth,False,G/121/P,TRAPPIST-1e,20.4,False,325,1433,1141,835,723,Hiro Tanaka,False
0095_01,Mars,False,G/98/S,TRAPPIST-1e,11.7,False,558,0,89,653,319,Hiro Tanaka,True
0095_02,Earth,True,D/96/P,PSO J318.5-22,28.5,False,0,0,0,0,0,Jordan Benson,True
0096_01,Europa,True,D/132/P,55 Cancri e,28.1,False,0,0,0,0,0,Remy Vivaldi,False
0096_02,Mars,False,D/14/S,55 Cancri e,19.2,False,844,258,901,689,9,Leo Stark,False
0097_01,Mars,True,C/26/S,TRAPPIST-1e,48.0,False,0,0,0,0,0,Kai Vega,False
0097_02,Mars,False,B/195/S,55 Cancri e,47.8,False,897,12,1191,320,1342,Jordan Benson,True
0098_01,Earth,False,E/187/S,TRAPPIST-1e,39.1,False,910,1442,1118,317,235,Remy Vivaldi,False
0098_02,Earth,True,F/160/S,TRAPPIST-1e,35.7,False,0,0,0,0,0,Ilya Komarov,True
0099_01,Earth,False,E/62/P,TRAPPIST-1e,34.8,False,1482,1160,587,512,1319,Hiro Tanaka,False
0099_02,Europa,False,F/172/P,55 Cancri e,26.6,False,1343,917,1372,872,1252,Jordan Benson,False
0100_01,Mars,False,E/142/P,TRAPPIST-1e,23.1,False,724,1188,4,850,1402,Mila Benson,False
0100_02,Mars,True,A/92/P,TRAPPIST-1e,23.7,False,0,0,0,0,0,Aria Lin,True
0101_01,Europa,False,G/86/P,TRAPPIST-1e,35.4,False,600,1065,88,401,295,Nova Stark,False
0101_02,Earth,False,F/119/S,PSO J318.5-22,30.4,False,1318,615,799,421,1046,Lara Xel'Naga,True
0102_01,Europa,False,A/76/P,TRAPPIST-1e,48.0,False,144,1248,1006,502,820,Mila Benson,False
0102_02,Earth,False,G/140/S,TRAPPIST-1e,12.2,True,103,1062,197,578,390,Aria Lin,True
0103_01,Mars,False,A/168/S,TRAPPIST-1e,37.2,False,1038,1312,477,1254,922,Nova Stark,False
0103_02,Mars,False,D/87/P,55 Cancri e,38.9,False,419,156,549,1464,1120,Nova Stark,False
0104_01,Mars,True,A/187/S,TRAPPIST-1e,37.7,False,0,0,0,0,0,Lara Xel'Naga,True
0104_02,Earth,True,C/170/S,TRAPPIST-1e,35.2,False,0,0,0,0,0,Ethan Zhao,True
0105_01,Europa,False,D/11/S,PSO J318.5-22,24.5,False,516,864,1141,805,1182,Kai Vega,False
0105_02,Earth,True,F/104/S,55 Cancri e,23.7,False,0,0,0,0,0,Aria Lin,True
0106_01,Earth,True,E/174/S,TRAPPIST-1e,20.2,False,0,0,0,0,0,Remy Vivaldi,True
0106_02,Mars,False,E/9/P,PSO J318.5-22,6.0,False,947,14,1180,1284,1180,Nova Stark,False
0107_01,Europa,True,B/136/S,TRAPPIST-1e,35.6,False,0,0,0,0,0,Kai Vega,True
0107_02,Earth,True,B/128/S,55 Cancri e,18.8,False,0,0,0,0,0,Kai Vega,True
0108_01,Earth,False,C/178/S,TRAPPIST-1e,36.7,False,754,1315,793,1306,68,Jordan Benson,False
0108_02,Europa,False,A/175/S,PSO J318.5-22,41.6,False,10,1277,871,549,1157,Jordan Benson,False
0109_01,Earth,False,G/41/P,TRAPPIST-1e,19.1,False,301,362,395,217,140,Jordan Benson,False
0109_02,Earth,True,D/7/S,55 Cancri e,4.8,False,0,0,0,0,0,Ilya Komarov,False
0110_01,Mars,True,A/17/S,TRAPPIST-1e,36.7,False,0,0,0,0,0,Ethan Zhao,True
0110_02,Mars,False,G/148/P,TRAPPIST-1e,18.6,False,682,1483,1003,355,1007,Aria Lin,True
0111_01,Mars,False,C/33/P,PSO J318.5-22,32.8,False,126,1129,1008,603,1401,Leo Stark,False
0111_02,Earth,False,E/40/S,TRAPPIST-1e,30.2,False,1013,50,1052,1485,1319,Ethan Zhao,True
0112_01,Mars,False,G/21/S,TRAPPIST-1e,24.7,False,1369,419,1205,982,824,Priya Kaur,True
0112_02,Europa,False,E/24/P,55 Cancri e,23.3,False,1024,566,370,935,660,Lara Xel'Naga,True
0113_01,Europa,False,E/87/P,TRAPPIST-1e,42.0,False,201,1459,312,116,936,Aria Lin,False
0113_02,Earth,False,G/147/S,PSO J318.5-22,21.1,False,574,243,536,74,385,Ilya Komarov,False
0114_01,Mars,True,C/124/P,PSO J318.5-22,12.4,False,0,0,0,0,0,Ilya Komarov,True
0114_02,Earth,True,D/124/S,TRAPPIST-1e,0.2,False,0,0,0,0,0,Lara Xel'Naga,True
0115_01,Europa,False,G/89/S,TRAPPIST-1e,29.6,False,954,875,762,1202,1205,Priya Kaur,False
0115_02,Earth,True,A/69/S,TRAPPIST-1e,35.8,False,0,0,0,0,0,Mila Benson,True
0116_01,Mars,False,D/64/P,TRAPPIST-1e,27.9,False,709,1184,176,284,62,Ethan Zhao,False
0116_02,Europa,True,E/120/S,TRAPPIST-1e,14.8,False,0,0,0,0,0,Jordan Benson,False
0117_01,Mars,False,B/56/S,TRAPPIST-1e,18.9,False,1492,1072,966,848,1107,Ilya Komarov,False
0117_02,Europa,False,C/138/P,TRAPPIST-1e,20.8,False,1384,688,147,341,475,Kai Vega,False
0118_01,Europa,False,A/103/P,55 Cancri e,14.6,False,326,1164,989,214,434,Nova Stark,False
0118_02,Earth,False,D/196/S,PSO J318.5-22,29.5,False,951,722,1341,31,669,Jordan Benson,True
0119_01,Earth,False,G/87/S,PSO J318.5-22,53.7,False,17,768,589,1394,1198,Hiro Tanaka,False
0119_02,Mars,True,A/36/S,55 Cancri e,16.9,False,0,0,0,0,0,Lara Xel'Naga,True
0120_01,Mars,True,E/82/P,TRAPPIST-1e,52.3,False,0,0,0,0,0,Ethan Zhao,False
0120_02,Europa,False,G/131/S,PSO J318.5-22,47.5,False,1136,113,1245,946,830,Ilya Komarov,False
0121_01,Mars,False,A/107/S,PSO J318.5-22,25.0,False,54,799,777,1481,161,Aria Lin,True
0121_02,Mars,True,F/199/P,PSO J318.5-22,20.8,False,0,0,0,0,0,Ilya Komarov,True
0122_01,Europa,False,G/98/P,PSO J318.5-22,24.4,False,1499,1201,1414,1372,1031,Hiro Tanaka,False
0122_02,Earth,True,D/81/S,TRAPPIST-1e,27.3,False,0,0,0,0,0,Remy Vivaldi,True
0123_01,Europa,False,D/189/P,PSO J318.5-22,35.2,False,327,1077,760,1262,1252,Remy Vivaldi,False
0123_02,Europa,False,D/81/P,55 Cancri e,16.7,False,578,1074,1006,1287,1441,Nova Stark,False
0124_01,Europa,False,F/175/S,PSO J318.5-22,40.5,False,451,164,181,468,909,Remy Vivaldi,True
0124_02,Earth,True,C/198/S,PSO J318.5-22,32.2,False,0,0,0,0,0,Ethan Zhao,True
0125_01,Mars,False,G/185/S,TRAPPIST-1e,33.9,False,6,329,774,150,1108,Aria Lin,False
0125_02,Mars,False,G/38/S,TRAPPIST-1e,24.9,False,146,1404,914,1308,699,Ethan Zhao,True
0126_01,Mars,False,F/123/P,TRAPPIST-1e,33.3,False,708,745,1022,1409,706,Kai Vega,False
0126_02,Europa,True,A/158/P,TRAPPIST-1e,30.6,False,0,0,0,0,0,Priya Kaur,True
0127_01,Earth,True,D/85/S,TRAPPIST-1e,12.4,False,0,0,0,0,0,Lara Xel'Naga,True
